variable,rho_image_risk,p_image_risk,rho_radiomics_risk,p_radiomics_risk
crop_height_px,0.2497161398140391,1.1102061913010038e-06,0.19135214122480193,0.00020924812542212726
crop_width_px,0.15779069850478603,0.0023027456700406004,0.21858627053231303,2.161349788115724e-05
crop_area_px,0.22467564338543003,1.248526152819722e-05,0.21461202372602528,3.0669112664596837e-05
z_position_frac,-0.049285764766604345,0.34380041420671437,0.020438748827389688,0.694769609330782
n_tumor_slices,0.13298072440498077,0.010343067829063737,0.16859213271319884,0.0011152264534719173
tumor_voxels_3d,0.22460269421070153,1.25687512037748e-05,0.2711373600657943,1.1295625550353088e-07
crop_mean_intensity,-0.13361023835765165,0.009983742050248977,0.21514439402449143,2.9275605575229475e-05
tumor_volume_mm3,0.22961975104397506,7.90651685187373e-06,0.3206785778909942,2.5547787714707087e-10
