case_id,original_shape_MeshVolume,original_shape_Sphericity,original_shape_SurfaceVolumeRatio,original_firstorder_10Percentile,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_TotalEnergy,original_glcm_JointEntropy,original_gldm_DependenceNonUniformity,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_ngtdm_Coarseness
Case001,1.6931589468245893,-1.8090182693754486,-0.564146293714041,0.40301288413169756,1.8405021150733027,-0.1566169010486295,0.20413504392667808,-1.1623019881302457,-0.096809602304483,0.3068899180975851,-0.21793109894946525,-0.2698293911672552,-0.3533177605515574,-0.6935226265690517,-0.8400178691229037
Case003,-0.3026056986480837,0.24677227641270472,-0.13981780719209214,0.8507107059248754,1.6912098312411985,0.18302430734595426,-0.04378665582394331,-0.02033897542340517,-0.18141798612842971,0.5575558723524886,-0.5082978832196602,0.27308571633169,-0.4269861667481431,-0.3176874106498276,-0.12465209107199364
Case004,-0.2007041222184083,-1.2306258171328093,0.49837075431300015,0.3997064009574496,0.2334455889006268,0.2097376608151912,-0.08201989949088852,0.9185378266458052,0.5325200311920744,0.19701075965286483,-0.39142391432071305,0.12547765427522864,-0.9110780410052021,0.7075180569132874,-0.6794492011298086
Case005,-0.6094090683406408,0.3276193814871033,0.2674959075919097,0.806403831389952,0.7518538578368125,0.03292070213786107,-0.19546228454060774,-0.6346900593695153,-0.6650734968544985,0.3430920590654323,-0.28055131718199366,0.044930565436290044,-1.0972926429641638,-0.25511097177700964,0.824226762967989
Case007,-0.19038765171730057,-1.0599856012164572,0.3857119159736731,-0.43683384212729126,-1.4185929353371909,-0.13499180538305675,-0.15556656429724958,1.0336322022569155,0.27448023845955666,-0.11647056319892916,-0.4923648234262841,-0.00029351723263849975,-0.43610891173371635,0.984649126588442,-0.2775514135774372
Case008,-0.24404817659501363,1.5319926540806528,-0.7190497859174584,-0.27812264976338785,1.0668834913944083,-0.9109511204418437,-0.3487580374713892,-1.9044945489347664,-0.9327485596921826,-0.5136417682157882,0.03469312445508327,-0.4495894521808971,0.4595544282098344,-2.0476974659470364,1.0023497547255116
Case010,-1.0683115938014516,-0.42311501456164435,1.9360433993666721,0.2370274287844488,-1.0757289657696851,0.175391920640458,-0.36189332469069924,-0.2659397664459341,-0.8717996305150022,-0.6639510091879279,-0.5484219679729263,-0.007959932083106663,-0.06139641277679274,-1.1242197673173708,2.4981916927861647
Case011,-0.29169675209518703,-0.8570303683195459,0.40204585318035996,0.43442447428705344,0.23553724009945615,0.12832553595656437,-0.13527059421895915,0.2602676551080451,-0.07434614972772174,0.0923405960849328,-0.5097828059887777,0.013238275573115079,-0.5919780954388724,0.4188763427622256,-0.3257002766734577
Case012,1.2949140686793361,-0.4703404388282568,-0.9905221348140212,0.46484411949013504,-0.6020375073418199,0.4692388088020642,0.5762355304497975,1.4913690073259238,1.0050771187824965,-0.1106484906272457,-0.5817328435105689,0.14639081502141568,-1.0267651625232777,0.9421262164065447,-0.8030081710206685
Case014,-0.005601816496851282,-0.9144467856393703,0.0946720863600312,-0.16900870501320428,-0.9281331146244508,-0.23294076810359216,-0.11920258637505055,0.49812592300620717,-0.05268245216044984,-0.02279229850547888,-0.4408963464699885,-0.07251500632575367,-0.10843069992596117,0.3764713277718238,-0.20579157313810598
