case_id,original_shape_Elongation,original_shape_MajorAxisLength,original_firstorder_10Percentile,original_firstorder_Energy,original_glcm_Idn,original_glcm_SumSquares,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_SmallAreaEmphasis,original_glszm_ZoneEntropy,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Strength
Case001,0.25582488323991776,2.34670313924118,0.40301288413169756,-0.07586784436177013,1.5678831027502376,-0.5328455061991108,0.3068899180975851,-0.7236733766251878,-0.2978930001366136,0.013128793955140454,-0.9492732221303187,-0.6935226265690517,-0.8400178691229037,-0.21020589846628485,-0.7156900405483558
Case003,-0.9347531502854197,0.19441140521628827,0.8507107059248754,-0.0707082302538896,0.8497774439766541,-0.2073721062890764,0.5575558723524886,-0.4001308680906834,0.2349027272403449,-0.2668376161161516,0.45432845653337095,-0.3176874106498276,-0.12465209107199364,-0.1150723785632279,0.4284055204104355
Case004,0.6568868546762872,-0.41406779666373905,0.3997064009574496,0.028547241594417412,0.2184996687512546,-0.0035439003922857083,0.19701075965286483,-0.8117390488212446,0.10572348411064685,-0.25462321964301554,0.3410601819760941,0.7075180569132874,-0.6794492011298086,-0.046884787115738034,-0.14951246529465625
Case005,-1.1099735256841792,-0.37399577378106985,0.806403831389952,-0.17773707934813907,1.0351408089637086,-0.3438309572311823,0.3430920590654323,-1.001088787129132,0.01279290224288451,-0.2228314466677003,-0.3559909971654248,-0.25511097177700964,0.824226762967989,-0.1801679020849929,0.4111710971089087
Case007,-1.5284223018340313,1.6144991231798307,-0.43683384212729126,-0.09936804471425179,-0.3702041535364738,0.3800040341549701,-0.11647056319892916,-0.3610973977458802,0.000291652805558317,-0.2677193276112645,0.31050669335587566,0.984649126588442,-0.2775514135774372,-0.10305912200157918,-0.13772905007439168
Case008,-0.10919457427347155,-0.6023270077298575,-0.27812264976338785,-0.30934855433583486,0.14790812176794546,-0.5865359359204557,-0.5136417682157882,0.04496762255568541,-0.43037201235193884,0.015007139895005614,-0.7281668640341782,-2.0476974659470364,1.0023497547255116,-0.24932136399536176,-0.585052345825637
Case010,-0.8871218807900851,-0.5543397610161519,0.2370274287844488,-0.29647034490153934,-1.4420250629364588,0.17670114568875464,-0.6639510091879279,0.35530709530571974,0.04351417553624052,-0.28147087535526644,1.9738522000335619,-1.1242197673173708,2.4981916927861647,-0.06332620480791226,1.3474007452115724
Case011,-1.174763419390721,1.3416642193461912,0.43442447428705344,-0.08467212768934743,0.9108581702629022,-0.2038878221014116,0.0923405960849328,-0.6668662312050132,-0.0023326495132636772,-0.2652499567996056,-0.45947578735480604,0.4188763427622256,-0.3257002766734577,-0.12274565201610431,0.018453181947353632
Case012,1.235004253161538,0.44923053654564,0.46484411949013504,0.1494405078957694,0.11605189321358393,0.12857345687411129,-0.1106484906272457,-0.9652375933811472,0.1574153938088293,-0.2923384748466935,0.6231319483289885,0.9421262164065447,-0.8030081710206685,-0.0011059575537631554,-0.2926909355294479
Case014,-0.5634730853057309,1.2628098335846132,-0.16900870501320428,-0.1321711648942128,-0.2729131117939221,-0.020474235779891815,-0.02279229850547888,-0.13227013424117165,-0.07942736503724664,-0.24804440712120185,0.17663055232124286,0.3764713277718238,-0.20579157313810598,-0.15222742010218934,-0.3165821449920701
Case016,-0.055604031489541766,-0.7045567480267519,-0.8732896211280257,-0.308292069853544,-1.3213797837021586,-0.41947336852896683,-0.8632818529884928,1.0406457909234987,-0.4684942642400803,-0.13425497987931417,-0.6555476535075002,-0.987228245671427,0.23171279100661055,-0.23617689520579777,-0.8153841788963001
Case017,-0.7800018228867671,-0.7152014613489425,-0.782361333836206,-0.2732308822320542,-0.8050274965830833,0.2500973767787892,-0.7479363323110484,0.3165742449579535,-0.22827117914352035,-0.22989830335977351,0.3942824200881203,0.30909548638420115,0.8028626806176846,-0.13879580683267326,0.21027812347835906
Case018,-0.6727636241608959,-1.0894123708897907,0.14180071336610653,-0.25244471159895043,-1.645419382593073,-0.06464904579174859,-0.4676017345525499,0.8585267598951791,-0.10109923242732916,-0.22128136304068402,0.4028152519257728,-0.37750521937080395,0.29701360251806797,-0.07793731597115516,0.10406890933960042
Case019,-1.1471369817693426,0.05332364593755583,0.18908342275785261,-0.195141144618174,-0.13928583383472395,-0.17617785427609137,-0.1813712718397452,0.016303955126322094,0.0018827857665911453,-0.2631981680955222,0.6442081600289814,-0.29956160176305824,0.5890567892314615,-0.1399373501335025,0.45071605131546294
Case020,-1.0529328984898383,0.8385270457265747,-0.4566727411727792,-0.22326481392617514,-0.6176198703168082,-0.4281916866468447,-0.5696436483300554,0.17214421358418044,-0.395234986233438,-0.1394045631896754,-0.8533678495276112,-0.5855389170730095,-0.7146492094085097,-0.21388599831209318,-0.9151969538125366
Case021,1.0823763363919041,-0.7655675401482847,0.2155352881518365,-0.08766881995727069,-1.0598358787947353,-0.24958273374550644,-0.1764033461527016,-0.5802836863140282,-0.11579445360882352,-0.2638208967523407,-0.38884615612949003,-0.0326340916339451,-0.8739780590150412,-0.1300495082038447,-0.6544840992298578
Case022,-0.38032858512136036,-0.25256272049147915,-0.9738067096251644,-0.32619776014849666,-1.0507985112962783,-0.2699188337516008,-1.129598299108522,4.0080347029882715,-0.45571872324830914,-0.14011191304419673,0.5323629814413157,-1.2836980555864181,1.2431118521912934,-0.2114364352288842,-0.3182526557663503
Case023,-0.9537562245135714,0.6472046912858856,-1.0495251743154432,-0.2649107744958716,-1.211736182321079,0.7690595540406837,-0.9800240038242768,2.0646854765814977,-0.1844377109412392,-0.19527137566837566,1.6454740441110198,0.3067849318023783,1.2140871017039307,-0.03689279471108946,1.0409650204933045
Case025,-1.5483638476746482,0.8573364190912404,-0.6352228325821705,-0.2272951126114347,-0.5545468787084411,0.3104054655023851,-0.7152123171783994,0.258920744604683,-0.0799383855669568,-0.26527133533848396,1.2272226514717757,0.31419167002927606,0.49518304965871607,-0.07615602938079045,0.43398012325626606
Case026,1.5265085658739175,2.8369517499092116,0.6741445044200325,1.104613097891944,1.4685148542533377,-0.12989212887746784,2.5052810777987853,-1.264094744298707,0.26167280142184407,-0.2144987814120378,0.014947651926770627,1.0531243831206665,-1.4583970917236988,-0.043509563000245534,-0.7559363331775416
Case027,0.8914764142420297,0.8201488729997068,0.20131741050257032,-0.025211074444366027,-0.8214401983549142,0.1074076797009084,-0.415011214434286,-0.5054469465331134,0.06460845089030615,-0.2853190565610983,0.7700137642806464,0.4114278749058265,-0.5884288281192621,-0.06987674840225787,-0.3211746751858547
Case028,-0.5651953072120551,2.91355281844515,0.3104313552527539,0.08522263856249054,0.445868149442321,0.5796946438685574,-0.3233616298609038,-0.6496272782118987,0.23955048899096934,-0.29028628611426066,1.384751987482995,0.926316250794098,-0.6368641162369633,0.1724142585172039,0.28788642512051354
Case030,1.5588387386103528,0.5045367271074446,-0.016910478997796855,0.1223422135178668,1.3404922622586972,-0.4822737238991389,1.1248306890073805,-1.0482628296615863,-0.27805446178525434,0.6234501429489604,-0.6845311363259503,-0.19752597752152895,-1.2716418428398548,-0.21063139152419785,-0.9329668201722955
