feature,concordance_index,concordance_index_std,p_value,fit_ok,kept,cluster_id,drop_reason
original_glrlm_RunEntropy,0.39634304937862497,0.06137292802728796,0.9586746206614456,True,False,8.0,redundant_with_original_glcm_ClusterTendency
original_glrlm_RunLengthNonUniformity,0.5447379327140871,0.13542074492164333,0.4875770496305354,True,False,27.0,redundant_with_original_glszm_GrayLevelNonUniformity
original_glrlm_RunLengthNonUniformityNormalized,0.3731832470840175,0.11477126045596568,0.8640554916004957,True,False,5.0,redundant_with_original_glszm_LargeAreaEmphasis
original_glrlm_RunPercentage,0.3714406949385406,0.12289972298611482,0.8131907406600758,True,False,5.0,redundant_with_original_glszm_LargeAreaEmphasis
original_glrlm_RunVariance,0.43702947334634434,0.17247960137443272,0.6933669716385212,True,False,5.0,redundant_with_original_glszm_LargeAreaEmphasis
original_glrlm_ShortRunEmphasis,0.37348739503016204,0.1218120763266904,0.8445516917019533,True,False,5.0,redundant_with_original_glszm_LargeAreaEmphasis
original_glrlm_ShortRunHighGrayLevelEmphasis,0.49040561318865283,0.12463886233321982,0.821320077851301,True,False,15.0,redundant_with_original_glcm_Autocorrelation
original_glrlm_ShortRunLowGrayLevelEmphasis,0.46169793663425435,0.08132183781819477,0.8200683407086758,True,False,11.0,redundant_with_original_glrlm_LongRunLowGrayLevelEmphasis
original_glszm_GrayLevelNonUniformity,0.5548922626890448,0.1313895274673826,0.48119248811265525,True,True,27.0,kept
original_glszm_GrayLevelNonUniformityNormalized,0.46975112903125293,0.12737481379124044,0.8123898920292274,True,False,8.0,redundant_with_original_glcm_ClusterTendency
original_glszm_GrayLevelVariance,0.46791367571837306,0.12255017792459871,0.8291391169354143,True,False,8.0,redundant_with_original_glcm_ClusterTendency
original_glszm_HighGrayLevelZoneEmphasis,0.48775753133758437,0.11670702731312402,0.8114905840860436,True,False,15.0,redundant_with_original_glcm_Autocorrelation
original_glszm_LargeAreaEmphasis,0.5026966947236968,0.16428097267131545,0.5238598976152707,True,True,5.0,kept
original_glszm_LargeAreaHighGrayLevelEmphasis,0.5198027056023872,0.14834498150339342,0.5671826048934367,True,True,22.0,kept
original_glszm_LargeAreaLowGrayLevelEmphasis,0.5536082865932863,0.11832877144157336,0.6778652278142769,True,True,14.0,kept
original_glszm_LowGrayLevelZoneEmphasis,0.4468467392559653,0.09550512647523798,0.7677351505469556,True,False,11.0,redundant_with_original_glrlm_LongRunLowGrayLevelEmphasis
original_glszm_SizeZoneNonUniformity,0.5304724635013481,0.09513834713999302,0.4851868447413451,True,False,26.0,redundant_with_original_gldm_DependenceNonUniformity
original_glszm_SizeZoneNonUniformityNormalized,0.3188314254956259,0.04834916428624344,0.8636002274480262,True,False,5.0,redundant_with_original_glszm_LargeAreaEmphasis
original_glszm_SmallAreaEmphasis,0.3188314254956259,0.04834916428624344,0.8759082581492332,True,False,5.0,redundant_with_original_glszm_LargeAreaEmphasis
original_glszm_SmallAreaHighGrayLevelEmphasis,0.4878172445533684,0.11402732720712211,0.797487721225303,True,False,15.0,redundant_with_original_glcm_Autocorrelation
original_glszm_SmallAreaLowGrayLevelEmphasis,0.44286269627778363,0.10876497585279504,0.7128249390266532,True,False,11.0,redundant_with_original_glrlm_LongRunLowGrayLevelEmphasis
original_glszm_ZoneEntropy,0.41602323001482305,0.03361801711873706,0.915446535265314,True,False,25.0,redundant_with_original_gldm_DependenceEntropy
original_glszm_ZonePercentage,0.3298368518606204,0.0550337421729743,0.9991443964943161,True,False,5.0,redundant_with_original_glszm_LargeAreaEmphasis
original_glszm_ZoneVariance,0.5010539083649037,0.15362671671772926,0.5137605445003552,True,False,5.0,redundant_with_original_glszm_LargeAreaEmphasis
original_ngtdm_Busyness,0.5420100829555263,0.1506490457617112,0.5019637155248353,True,True,9.0,kept
original_ngtdm_Coarseness,0.5543968541318306,0.14378413310719043,0.5578565411580835,True,False,27.0,redundant_with_original_glszm_GrayLevelNonUniformity
original_ngtdm_Complexity,0.4594372622274186,0.11474132863872859,0.7678698715428893,True,False,16.0,cut_by_max_features
original_ngtdm_Contrast,0.41029581248648955,0.08256668682200156,0.9780147545833523,True,False,6.0,cut_by_max_features
original_ngtdm_Strength,0.46705577046744046,0.1535889011930219,0.7476499492464914,True,False,9.0,redundant_with_original_ngtdm_Busyness
